reactive_energy_cost,imbalance_cost,harmonic_cost,neutral_current_cost,baseline_active_energy_cost
9225,59565.0000000008,3.2650695,3159.0075,216975
8025,47563.9999999993,3.264624,4969.47,215550
13800,35639.9999999998,3.2566941,8.67,219300
20175,35944.9999999994,3.2480514,6142.6875,230250
14175,35802.0000000003,3.2484078,294.03,232275
30450,47151.7200000002,3.1776327,124.8075,226800
34725,47858.5800000002,3.1778946,3257.1075,231450
10050,35402.0000000002,3.2537538,4343.4075,230550
8325,34590.0000000013,3.2528628,5431.5075,230400
19800,22028.9999999993,3.2480514,6389.4675,232650
18450,25824.000000001,3.2507244,3834.1875,230025
7425,28079.9999999994,3.2612382,267.9075,230850
8100,35526.0000000003,3.2611491,3844.92,230775
7725,39372.0000000004,3.2642676,27,228150
19125,35017.2900000002,3.2268852,126.75,216300
34500,41235.4800000001,3.129813,2295.3348,171075
2457525,1973418.48000002,1083.7390347,1278.770625,2457525
18600,46699.0000000012,3.2093226,457.5675,166725
24450,52997.6699999999,3.1722624,2864.43,168300
13575,39847.4999999993,3.2433786,5241.72,171600
31425,40748.3999999991,3.1702752,4775.7897,169650
20700,49753.4400000004,3.2075766,3596.7888,171825
5175,44351.9999999998,3.2794146,155.52,173700
13275,35335.0000000004,3.2440842,245.7075,178350
15375,36555.999999999,3.2394978,81.12,180450
13125,39183.0000000005,3.238704,120.9675,177525
35625,49892.7799999995,3.131865,5645.8512,178425
35325,46177.5600000008,3.128787,1182.067425,181500
12075,51105.9999999993,3.2425848,3306.72,182025
10725,48734.9999999988,3.2493762,1875,182775
27600,44698.5000000002,3.171744,2939.07,178950
31950,67640.7600000004,3.136311,3888,175950
17175,55488.5100000006,3.2107194,6279.1875,175125
38700,85730.4000000002,3.1029588,1089.165825,174600
40875,120701.7,3.0944988,2771.908425,182550
13050,166583.999999999,3.2342058,206.67,181050
12675,172020,3.2335002,5092.32,175725
11175,183372,3.2386158,1735.2075,174000
12075,79056.0000000014,3.249288,5585.7675,174600
13200,38337,3.2581962,55.47,174300
14100,125568,3.2482296,763.2075,176775
11025,141921,3.249729,5821.2075,177750
30600,164706.3,3.145716,5092.32,182400
35175,164478.6,3.143493,3706.5675,185325
12825,114390.000000001,3.2596074,588,186375
9300,51744.0000000004,3.2676336,2619.6075,186075
9150,147503.999999999,3.2626944,136.6875,186300
29700,66470.5799999988,3.19464,39.9675,184800
35325,46260.7199999998,3.1936032,1291.125825,185775
14625,43600.0000000006,3.2465538,977.4075,186300
19575,36816.1199999999,3.1919499,3139.5675,182850
38850,31240.4399999998,3.1203225,125.4825,184050
22425,40114.7999999991,3.193434,962.28,182325
18675,43302.5999999989,3.1918626,318.153825,184425
43125,26430.600000001,3.118869,379.2393,189450
28500,35513.2799999996,3.1585248,13.0977,188100
10125,49536.0000000004,3.2652477,2012.43,189225
8925,45966.9999999992,3.264624,5729.07,188925
8100,45066.0000000002,3.2648913,982.83,188625
6750,45439.999999999,3.2634657,5.4675,186075
17250,43282.8000000006,3.2264442,4458.3075,181800
29025,40667.2199999995,3.1535136,720.75,174075
17025,49228.7399999993,3.1918626,734.7675,174450
10050,37960.0000000005,3.2297076,69.12,172650
10125,34019.9999999999,3.2292666,3468,172425
10125,32810.0000000003,3.2606145,4563,173400
9075,30271.9999999993,3.2632875,2809.08,172425
9375,32111.9999999999,3.2671188,4007.7075,172875
9975,32615.9999999999,3.232971,435.6075,173400
11625,28109.9999999997,3.2336766,19.5075,176175
12300,24083.9999999996,3.2342058,4309.23,177150
12600,23625,3.230325,2772.48,177825
8700,36530.9999999998,3.2659605,5521.23,180825
